geom,cartodb_id,nombre,disciplina,circuito,ano_apertura_date,ano_apertura_string,ano_apertura_number,an_clausura,an_clau_string,an_clau_number,condicion_mobiliaria,sostenimiento,estatus,clausuras,cl_pandemia_cerraron,cl_pand_close_string,a_pandemia_abierto,a_pand_open,estatus_postpandemia,aforo,alcaldia,longitud,latitud,contacto
POINT(-99.114694 19.417056),289,Centro de danza y acrobacia Cardoso,Danza,Formación,,Sin información,,20/11/2019 0:00:00,2019,2019,Sin información,Sin información,Cerrado permanentemente,Sin información,,No aplica,,No aplica,No aplica,Sin información,Venustiano Carranza,"-99,114694","19,417056",https://www.facebook.com/CDyACardoso
POINT(-99.161842 19.414898),285,Terrazas Noox,Música,Consumo,,No aplica,,,No aplica,,Sin información,Servicios,Abierto,Sin información,,No aplica,1/01/2021 0:00:00,,Abierto,Hasta 50 personas,Cuauhtémoc,"-99,16184193","19,41489754",Sin información
POINT(-99.152005 19.432742),290,Foro Morelos,Multidisciplina,Renta,,Sin información,,,No aplica,,Rentado,Servicios,No aplica,Sin información,,No aplica,4/03/2021 0:00:00,,Abierto,Hasta 50 personas,Cuauhtémoc,"-99,15200452","19,43274214",https://www.facebook.com/foro.morelos76
POINT(-99.097572 19.233785),288,Café Minuet,Música,Consumo,,Sin información,,,No aplica,,Rentado,Servicios,Abierto,Sin información,24/03/2020 0:00:00,2020-03,22/07/2020 0:00:00,,Abierto,Hasta 50 personas,Xochimilco,"-99,097572","19,233785",https://www.facebook.com/Caf%C3%A9-Minuet-1862632160663876
POINT(-99.064568 19.216224),287,Museo Cuartel Zapatista,Otras disciplinas,Difusión,,Sin información,,,Sin información,,Propio,Autogenerados,Abierto,Sin clausuras,19/03/2020 0:00:00,2020-03,13/07/2020 0:00:00,,Abierto,51 a 100 personas,Milpa Alta,"-99,06456776","19,21622351",https://www.facebook.com/MuseoCuartelZapatistaOficial
POINT(-99.086359 19.214122),286,Casa de Cultura de San Salvador Cuatenco,Multidisciplina,Formación,,Sin información,,,Sin información,,Propio,Autogenerados,Abierto,Sin clausuras,19/03/2020 0:00:00,2020-03,13/07/2020 0:00:00,,Abierto,51 a 100 personas,Milpa Alta,"-99,08635879","19,21412232",https://www.facebook.com/Casa.de.las.Artes.Cuauhtenco
POINT(-99.188468 19.345561),1,Carpa Geodésica,Teatro,Difusión,6/01/1950 0:00:00,1950,1950,,No aplica,,Propio,Multisostenimiento,Abierto,Sin información,,Sin información,1/10/2020 0:00:00,,Abierto,201 a 250 personas,Álvaro Obregón,"-99,188468","19,345561",https://www.facebook.com/CarpaGeodesicaTeatro
POINT(-99.160364 19.431973),3,Teatro Arlequin,Teatro,Difusión,17/08/1953 0:00:00,1953,1953,21/06/2016 0:00:00,2016,2016,Sin información,Sin información,Cierrado permanentemente,Sin información,,No aplica,,No aplica,No aplica,Sin información,Cuauhtémoc,"-99,160364","19,431973",https://www.facebook.com/teatroarlequinMX
POINT(-99.164152 19.357402),2,La Capilla Teatro,Artes vivas,Difusión,22/01/1953 0:00:00,1953,1953,,No aplica,,Propio,Multisostenimiento,Abierto,Sin clausuras,30/03/2020 0:00:00,2020-03,22/09/2020 0:00:00,,Abierto,51 a 100 personas,Coyoacán,"-99,1641515","19,3574019",https://www.facebook.com/LaCapillaTeatro
POINT(-99.163657 19.435413),4,Anglo Arts Centre,Artes escénicas,Formación,28/03/1962 0:00:00,1962,1962,,No aplica,,Propio,Servicios,Cerrado permanentemente,Sin información,30/03/2020 0:00:00,2020-03,,Cerrado permanentemente,Cerrado temporalmente,151 a 200 personas,Cuauhtémoc,"-99,1636565","19,4354132",https://www.angloarts.mx/apps/pages/index.jsp?uREC_ID=822208&type=d&pREC_ID=staff
